cluster_id,cluster_keyword,keywords_in_cluster,total_keywords_in_cluster
829,sports trading cards,"2002 chevrolet truck red vin 1gchc29u42e157466 | 3-pack 3200 count 4-row trading card storage boxes | 4-row 3200-count trading card storage boxes 2 pack monster box for sports cards | autographed sports memorabilia | bundle of 25 5000ct 5-row cardboard trading baseball gaming card storage boxes | cgc gem mint 10 graded sports card | cgc pristine 10 graded sports card | chicago sports spectacular mystery box (4 autographed items, limited to 150 boxes) | magnetic case bumper for psa slab graded card pack of 1 | michael jordan rookie card | multisport hit box - all-star | multisport hit box - rookie | multisport hit box - veteran | psa 10 graded sports trading card | psa 9 graded sports trading card | sleeping eeveelutions plush",16
25,baseball american tobacco company t206 cards,1909 t206 honus wagner baseball card | 1909 t206 honus wagner tobacco card | 1909-11 t206 honus wagner sgc 2 | 1909-11 t206 joe doyle (n.y. natl error) sgc 3.5 | 1909-11 t206 ty cobb tobacco (ty cobb back) psa 4.5 | 1909-1911 american tobacco company t206 christy mathewson | 1909-1911 american tobacco company t206 cy young | 1909-1911 american tobacco company t206 honus wagner | 1909-1911 american tobacco company t206 ty cobb | t206 honus wagner american tobacco company 1909-1911 | t206 honus wagner baseball card | t206 honus wagner psa 2 | t206 honus wagner psa 5 | t206 honus wagner sgc 3 | t206 honus wagner tobacco card 1909,15
337,basketball upper deck exquisite collection cards,2003 upper deck exquisite collection rookie patch autographs lebron james bgs mt 9 | 2003-04 upper deck exquisite collection basketball cards | 2003-04 upper deck exquisite collection lebron james autographed rookie jersey card | 2003-04 upper deck exquisite collection lebron james rookie patch autograph #/23 bgs 9.5 auto 10 | 2003-04 upper deck exquisite collection lebron james rookie patch autograph #78 bgs 9 | 2003-04 upper deck exquisite collection lebron james rookie patch autograph parallel | 2003-04 upper deck exquisite collection lebron james rookie patch autographs #78 7/23 bgs mt 9 | 2003-04 upper deck lebron james exquisite collection rpa bgs 9 | 2007-08 upper deck exquisite collection dual logoman autographs michael jordan & kobe bryant #dl-km 1/1 psa ex-mt 6 | 2007-08 upper deck exquisite collection michael jordan and kobe bryant dual logoman autograph psa 6 | 2007-08 upper deck exquisite collection michael jordan kobe bryant dual logoman | 2007–08 upper deck exquisite collection dual logoman autographs michael jordan kobe bryant psa ex-mt 6 | lebron james bgs 7.5 2004-05 ud exquisite collection 2nd year patch auto patches /100 | stephen curry psa auth 10 auto 2009 ud exquisite collection #72 rookie parallel rc /31,14
499,hockey cards,auston matthews toronto maple leafs jersey | brad marchand boston bruins jersey | cale makar colorado avalanche jersey | conner sheary pittsburgh penguins 2015-2016 stanley cup final game used skates | connor mcdavid edmonton oilers jersey | hockey cards 1951-2020 | hockey hit box - all-star | hockey hit box - hall of fame | hockey hit box - rookie | hockey hit box - veteran | igor shesterkin new york rangers jersey | mario lemieux pittsburgh penguins autographed custom painted numbered | nhl autographed puck wayne gretzky | notre dame fighting irish hockey leprechaun jersey,14
671,bcw cards,bcw 3x4 standard topload card holders 100 pack | bcw 6 drawer card catalog black stackable trading card organizer box | bcw 6-drawer graded card catalog black | bcw card house storage box for sport & gaming cards | collectible card bin - 1600 - blue | collectible card bin - 1600 - gray | collectible card bin - 1600 - green | collectible card bin - 1600 - red | collectible card bin - 1600 - yellow | collectible card bin - 3200 - blue | collectible card bin - 3200 - gray | collectible card bin - 3200 - green | collectible card bin - 3200 - red | collectible card bin - 3200 - yellow,14
55,baseball donruss cards,1948 leaf #79 jackie robinson rookie card | 1948 leaf honus wagner baseball card | 1983 donruss tony gwynn rookie card | 1984 donruss don mattingly rookie card | 1986 donruss #39 jose canseco rookie card | 1986 donruss rated rookie jose canseco | 1987 donruss baseball box | 1987 donruss baseball card | 1989 score paul gibson player in background adjusting cup error card | 1990 leaf #300 frank thomas | 1990 leaf #300 frank thomas rookie card | 1990 score #697 bo jackson | 1992 donruss bc5 chuck knoblauch rookie card,13
183,baseball upper deck cards,1989 upper deck #1 ken griffey jr. ex to nm | 1989 upper deck #1 ken griffey jr. rookie card | 1989 upper deck dale murphy reverse negative error card | 1989 upper deck ken griffey jr star rookie #1 | 1989 upper deck ken griffey jr. #1 | 1991 upper deck #sp1 michael jordan | 1991 upper deck #sp2 nolan ryan/rickey henderson | 1991 upper deck michael jordan #sp1 chicago white sox rookie card | 1991 upper deck sp1 michael jordan rookie card | 1992 upper deck #276 jeff bagwell rookie card | 1992 upper deck #sp3 deion sanders | 1993 upper deck #449 derek jeter psa 8 | 1994 upper deck mantle/griffey jr. autograph,13
255,basketball fleer cards,1961 fleer wilt chamberlain sgc 10 | 1961-62 fleer wilt chamberlain rookie card gm 10 | 1986 fleer basketball | 1986 fleer michael jordan #57 rookie card graded 10 by company-1 | 1986 fleer michael jordan rookie | 1986 fleer michael jordan rookie basketball card | 1986 fleer michael jordan rookie card | 1986 fleer michael jordan rookie card psa 1 | 1986 michael jordan fleer rc #57 | 1986 upper deck signed fleer michael jordan #57 rookie card 21/23 bgs nm-mt+ 8.5 / auto 9 | 1986-87 fleer michael jordan autographed rookie card | 1986–87 fleer michael jordan psa mint 9 auto 10 | 1987-1988 michael jordan fleer #59,13
68,baseball goudey big league gum cards,1933 goudey big league gum babe ruth #144 full-body shot | 1933 goudey big league gum babe ruth #149 red background | 1933 goudey big league gum babe ruth #181 green background | 1933 goudey big league gum babe ruth #54 yellow background | 1933 goudey big league gum dizzy dean | 1933 goudey big league gum jimmie foxx | 1933 goudey big league gum joe dimaggio | 1933 goudey big league gum lefty grove | 1933 goudey big league gum lou gehrig | 1933 goudey big league gum mel ott | 1933 goudey big league gum rogers hornsby | 1933 goudey big league gum tris speaker,12
279,basketball panini flawless cards,1/1 lebron james 2024-25 panini flawless dual game-worn logo patch platinum 1/1 | 2014-15 panini flawless kobe bryant emerald association autographs auto /5 green | 2015-16 panini flawless kobe bryant logoman autographed patch card | 2020–21 panini flawless triple logoman patch autograph lebron james psa authentic | 2024-25 panini flawless basketball | luka doncic psa 9 2018 panini flawless signature prime rookie patch auto rpa /25 | panini flawless basketball championship tag autograph | panini flawless basketball gold parallel rpa /10 | panini flawless basketball gold star swatch autograph | panini flawless basketball sealed case | panini flawless basketball vertical rpa /25 | stephen curry bgs 9 2018-19 flawless star swatch game-used jersey patch auto /25,12
333,basketball topps cards,1970-71 topps #123 pete maravich rookie card | 1993 topps #23 michael jordan bulls basketball card | 2024 topps basketball trading cards | 2025-26 topps basketball hobby box | 2025-26 topps basketball jumbo box | 2025-26 topps basketball value box | 2025–26 topps basketball | topps basketball 2025-26 blaster box | topps basketball 2025-26 hobby box | topps basketball 2025-26 jumbo box | topps basketball 2025-26 mega box | topps basketball cards,12
321,basketball topps chrome cards,1996 topps chrome refractor kobe bryant rookie psa 10 | 1996 topps chrome refractor kobe bryant rookie rc #138 psa 10 gem mint | 1996-97 topps chrome refractor kobe bryant | 1996-97 topps chrome refractors kobe bryant #138 rookie card bgs pristine/black label 10 | 1996–97 topps chrome refractor kobe bryant bgs pristine/black label 10 | 2024-25 topps chrome basketball blaster | 2024/25 topps chrome basketball blaster box | 2024/25 topps chrome basketball hobby box | 2024/25 topps chrome basketball value box | 2025-26 topps chrome basketball | lebron james psa 10 2003-04 topps chrome basketball #111 rookie rc cavaliers gem,11
744,pokémon cards,celebi plush pokémon center | croconaw plush pokémon center | fidough plush pokémon center | jigglypuff plush pokémon center | jigglypuff pokémon center plush | mega lopunny plush pokémon center | mewtwo poké plush 10.5 inch pokémon center | pikachu with grey felt hat promo card | salmence plush pokémon center | sleeping eeveelutions plush pokémon center | wiglett plush pokémon center,11
806,woodhaven trading firm cards,1-pack 5000-count trading card storage box woodhaven trading firm | 10-pack 800-count trading/gaming card storage box woodhaven trading firm | 25-pack 3200-count trading card storage box woodhaven trading firm | 25-pack 5000-count trading card storage box woodhaven trading firm | 25-pack shoe 1600-count trading card storage box woodhaven trading firm | 3-pack 800-count trading/gaming card storage box woodhaven trading firm | 3-pack shoe 1600-count trading card storage box woodhaven trading firm | 4-pack 3200-count trading card storage box woodhaven trading firm | 50-pack 300-count trading/gaming card storage box woodhaven trading firm | 50-pack 400-count trading/gaming card storage box woodhaven trading firm | 50-pack 800-count trading/gaming card storage box woodhaven trading firm,11
787,topps cards,cooper flagg topps card | hyun-seok jang 2025 bowman #cpa-hj chrome prospect auto (1st) | hyun-seok jang 2025 bowman #cpa-hj chrome prospect auto - purple refractor /250 (1st) | kon knueppel 2025 topps #cc-4 clutch city prospects - holo foil | shohei ohtani 2018 bowman #49 base | shohei ohtani 2018 topps update #us285 rookie debut | topps autograph card | topps rookie card | topps sealed card packs | topps unopened sports card box,10
